sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
104519920,ARROZ G1 MIRAFLORES 1 kg,OTROS ABARROTES,ARROZ,1845.0,1369.747899159664,2300.0,,2008.4033613445379,1369.747899159664,2008.4033613445379,central mayorista,otros,-0.40445743514797217,-0.12678114724150524
104519930,"QUESO GAUDA MOLFINO 3,9 kg",LACTEOS,QUESOS,,,6990.0,,7142.857142857143,7142.857142857143,7142.857142857143,otros,otros,0.021867974657674205,0.021867974657674205
104520060,DURAZNO MITADES ZANAFOODS 3 kg,CONSERVAS,DESCONTINUADOS,,2264.6346674262927,2777.777777777778,,,2264.6346674262927,2264.6346674262927,central mayorista,central mayorista,-0.18473151972653468,-0.18473151972653468
104520070,DURAZNO TROCITOS ZANAFOODS 3 kg,CONSERVAS,FRUTAS,,,2777.777777777778,,,,,,,,
104520350,PLACA 30x30 cm LAVAZZA,CAFE Y DERIVADOS,ACCESORIOS,,,87500.0,,,,,,,,
104520580,ENTRAÃ‘A CHOICE USA,FS-Proteinas,Vacuno - Vacuno,,,23890.0,,,,,,,,
104520620,ARROZ G2 TUCAPEL NACIONAL 2 kg,OTROS ABARROTES,ARROZ,,1369.747899159664,2092.4,,1953.781512605042,1369.747899159664,1953.781512605042,central mayorista,otros,-0.34536995834464534,-0.06624856021552195
104520680,NUGGET CROCANTE SADIA 3 kg,ELABORADOS DE POLLO-CERDO,APANADOS,,5182.072829131653,4000.0,,4366.946778711485,4366.946778711485,5182.072829131653,otros,central mayorista,0.09173669467787127,0.2955182072829132
104520700,POROTO VERDE CORTE FRANCES ARDO 1 kg,FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,1798.3193277310925,2200.0,,,1798.3193277310925,1798.3193277310925,central mayorista,central mayorista,-0.18258212375859428,-0.18258212375859428
104520710,BROCOLI ARDO 1 kg,FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,,2833.3333333333335,,,,,,,,
104520790,"QUESO MOZZARELLA HEBRA LEPRINO 6,8 kg",LACTEOS,QUESOS,,,8352.94117647059,,,,,,,,
104520830,PAN BAGUETTE SANDWICH PAGNIFIQUE 133 g,BOLLERIA,PANES PARA HORNEAR,,,2822.630346357698,,,,,,,,
104520880,PECHUGA POLLO COC GRILL 10 KG 80-140 G,ELABORADOS DE POLLO-CERDO,ELABORADOS COCIDOS,,,8500.0,,,,,,,,
104520990,AZUCAR G2 IANSA 25 kg,OTROS ABARROTES,AZUCAR Y ENDULZANTES,,,1400.0,,,,,,,,
104521140,"CAFE STICK NESCAFE 1,8 g",CAFE Y DERIVADOS,CAFES SOLUBLES,62793.20987654321,69118.5565135145,82500.0,,60474.80720683336,60474.80720683336,69118.5565135145,otros,central mayorista,-0.2669720338565654,-0.162199314987703
104521200,AZUCAR MINI IANSA 5 g,OTROS ABARROTES,MINI PORCIONES,,,3375.0,,3716.386554621849,3716.386554621849,3716.386554621849,otros,otros,0.10115157173980704,0.10115157173980704
104521430,PULPA PIERNA CERDO 1/16 IWP BRASIL 21 kg,CERDO,PULPAS,,,4090.0,,,,,,,,
104521580,SALSA CHOCOLATE 1 l,FS-Abarrotes FS,Otros Abarrotes FS - Otros,8675.0,3907.563025210084,3500.0,,,3907.563025210084,8675.0,central mayorista,bidfood,0.11644657863145258,1.4785714285714286
104521640,ACEITE OLIVA NUTRICAMPO 5 l,ACEITES Y VINAGRES,ACEITES DE OLIVA,,9746.218487394959,8000.0,,6384.873949579832,6384.873949579832,9746.218487394959,otros,central mayorista,-0.20189075630252107,0.21827731092436986
104521670,ATUN STEAK IVP 210 - 240 GR CJ 5 KG,PESCADOS Y MARISCOS,PESCADOS,,,10090.0,,13436.974789915967,13436.974789915967,13436.974789915967,otros,otros,0.33171207035837136,0.33171207035837136
104521710,DONUT RELLENA DULCE LECHE POPPIES 66 g,BOLLERIA,BOLLERIA PARA HORNEAR,,,9438.131313131313,,,,,,,,
104521720,PAN HAMBURGUESA BRIOCHE 12 CM,BOLLERIA,PANES LISTOS PARA COMER,3450.5714285714284,,3748.326639892905,,,3450.5714285714284,3450.5714285714284,bidfood,bidfood,-0.07943683673469393,-0.07943683673469393
